dying  a.垂死的，临终的 
rob  vt.抢劫；非法剥夺，使丧失 vi.抢劫，盗窃 
roadside  n.路边 adj.路边的 
road  n.道路，公路；途径 
river  n.江，河，水道 
rise  v.(rose,risen)1.上升；升起 2.起床；起立 
ripe  a.成熟的；时机成熟的，准备好的；成年的 
ring  n.圈；戒指 vi.鸣响；按铃 vt.按铃；打电话 
right-handed  a.右手的；用右手的 
right  a.右的；正确的 n.右；权利 ad.对 vt.纠正 
ride  v.骑(马、自行车、摩托车等)；乘(公共汽车) 
rid  vt.使摆脱，解除负担，从…中清除 
richshaw  n.人力车 
rich  a.富有的；富饶的；(色彩)浓艳的；贵重的 
rice  n.稻子，大米，米饭 
rewrite  vt.(rewrote,rewritten)重写；改写 
revolutionary  a.革命的；大变革的 n.革命者；革命党人 
revolution  n.革命，大变革；旋转；周期，循环 
revision  n.修订(改，正)；修订本(版)；复习 
reviewer  n．(戏剧、新书等的)评论家，书评作者 
review  n.回顾，审议；复习 vt.回顾；评论；复习 
reuse  n.理由，借口 vt.原谅；为…辩解；使…免去 
return  v.／n.回；归还；报答 a.回程的；回报的 
retell  (过去式和过去分词retold) v.复述 
result  n.结果，成果，成绩 vi.产生于；结果；导致 
restaurant  n.餐馆，饭店，菜馆 
rest  n.休息；剩余部分 v.休息；睡；放，靠，搁 
respect  v.尊敬(重) n.尊敬，尊重；[pl.]敬意，问候 
resist  v.抵(反)抗，抵制；抗，耐；拒受…的影响 
researcher  n.研究者，调查者，探索者 
research  n.研究，调查 vi.调查，研究 
rescue  vt. save from danger 拯救，营救，挽救 
requirement  n.要求，必要条件；需要，需要的东西 
require  v.需要；(of)要求，命令 [同]demand 
request  n.要求，请求 v.要求，请求 
republic  n.共和国，共和政体 
reporter  n.报告人，通讯员；记者，报导者 
report  n.报告，汇报；传说，传阅 v.报告，报到 
reply  v./n.(to)回答，答复，以…作答 
replace  vt.代替，取代；更换，调换；放回原处 
repeat  vt.重说；重复；背诵 vi.重述 n.重复；重播 
repay  *v.(repaid,repaid)偿还；还钱给(某人) 
repairs  *n.修理工作 
repair  vt.修理；修补；补救；恢复 n.修理；修补 
renew  v.继续；(使)更新，恢复；延长有效期 
remove  v.除去，脱掉；消除；移动，移；免职，开除 
remind  vt.提醒，使想起；使发生联想 
remember  v.记住，(to)转达问候，代…致意，代…问好 
remark  n.评论，意见；注意 v.评论；察觉，注意到 
remain  v.存留，剩下；留待，尚须；仍然是，依旧是 
relay  vt.转播；使接替 vi.转播 n.转播；接力赛跑 
relativity  n.相对性，相关性，相对论 
relative  n.亲戚，亲属 a.相对的；有关系的，相关的 
relationship  n.亲属关系，友好关系；关系，联系 
relation  n.关系；联系；亲戚；叙述；故事 
relate  v.讲述(故事)；使联系，显示出...与...联系 
reject  v.拒绝；扔掉；驳回，否决 n.被抛弃的东西 
regularly  ad.有规律地；经常地；有规则地 
regular  a.定期的；有规律的；正规(式)的；匀称的 
regret  n.遗憾，抱歉，懊悔 v.遗憾；懊悔，后悔 
regards  *n.问候；致意 
regard  v.(as)把..看作为，认为；考虑,注视 n.问候 
refuse  v.拒绝，不接受，不同意n.废物，垃圾 
refusal  n.the act of refusing 
refer  v.参考，查阅，查询；(to)提到，引用；提交 
reel  n.卷轴(筒，盘)vi.蹒跚；眩晕vt.卷，绕 
reduction  n.减少，减小；降级，降职；归纳，归并 
reduce  vt.缩小，减少，减低；使成为；简化；还原 
redirection  *n.转移呼叫，更改方向 
redirect  *v.转移呼叫；使改方向 
reddish-brown  a.红棕色的 
red  a.红的，红色的 n.红色；红色颜料 
recycle  vt./vi.重复利用(用过的物资)，循环使用 
recover  vi.恢复，痊愈 vt.收/挽回；重新获得/找回 
recorder  n.录音(像)机；记录装置，记录仪 
record  n.唱片；记录/载 vt.记录；将(声音等)录下 
recognise  vt.承认，认可；认出，识别 
recite  vt.背(朗)诵；列举出vi.背诵，朗诵 
receptionist  n.接待，接待员 
reception  a.(旅游的)接待处；招待会；接等；接收 
recently  ad.最近 (=lately) 
recent  a.最近的，近来的；近代的 
receive  vt.收到，接到；接待，接见；受到，蒙受 
rebuild  v.再建，改建，重建；改革，改造 
reasonable  a.合理的，有道理的；通情达理的；适度 
reason  n.理由；理性：理智 vt.论证；劝说 vi.推理 
really  ad.真正地，实际上，实际上；很；实，其实 
realize  vt.了解；领悟；认识到；使(希望）实现 
realization  n.领悟，认识；(指希望或目的的)实现 
reality  n.the state of things as they are 
real  a.真的，真实的；实际的，现实的 
ready  a.准备好的，现成的；乐意的，情愿；迅速的 
reading  n.读书；读物；(仪表等的)读数 a.阅读的 
reader  n.读者；读本，读物；(英国的)大学讲师 
read  v.朗读；阅读 vt.辨认，观察 vi.读到，获悉 
reach  v.到达；达到；伸；递；联系 n.延伸；范围 
ray  n.光线，射线，辐射线 
rather  ad.相当；宁可；更确切些；相反地，反面 
rat  n.鼠；卑鄙的人，叛徒 
rapid  a.快的，迅速的n.［pl.］急流，湍滩 
rank  n.军衔，社会阶层；排 v.分级，分类；排列 
raise  vt.举起，提高；增加；提出；抚养；筹集 
rainy  adj．下雨的，多雨的 
rainfall  n.(降)雨量；一场雨 
raincoat  n．雨衣 
rain  n.雨；雨天；下雨 vi.下雨 vt.使大量落下 
railway  n.铁路 v.由铁道运输 
rail  v.责骂,抱怨n.横杆,围栏,栏杆,秧鸡,扶手 
rag  n.破布；(pl.)破烂衣服；低劣的报纸 
radium  *n.镭 
radioactive  a.［原］放射性的；放射引起的 
radio  n.收音机；无线电报，无线电话v.无线电通讯 
radiation  n.放射，发光；放射物，辐射线，辐射能 
racial  adj.of or having to do with race 
race  n.种族；竞赛 vt.使全速行进 vi.疾走；竞走 
rabbit  n.兔肉，野兔 
quiz  n.(广播或电视节目中的)一般知识测验，猜迷 
quite  ad.完全地，非常；相当，颇；的确，真正地 
quietly  ad.安静地，悄悄地；平稳地，文静地 
quiet  a.安静的，宁静的；轻声的 n.安静 v.使安静 
quickly  ad.快地，急速；立刻地，马上 
quick  a.快的；灵敏的；性急的，敏锐的 ad.迅速地 
queue  n.&v.辫子；(人，车的)长队；排队等候 
question  n.问，问题；难题；议题 vt.怀疑；问，审问 
queen  n.女王，皇后；(纸牌、国际象棋中的)王后 
quarter  n.十五分钟，一刻钟；四分之一；地区，区域 
quarrelsome  a.喜欢争吵的 
quarrel  v.(about，over)争吵，争论 n.争吵，口角 
quantity  n.数量，量；[常pl.]大量，大宗 
quality  n.质(量)；品质；性质a.优良(质)的 
quake  v./n.震动；颤抖；[口]地震 
pyramid  n.金字塔(形结构)；锥状物 
puzzled  adj.迷惑的；困惑的 
put  vt.放，搁，置；表达；使处于...状态，记下 
push  v.推；催逼，逼迫 n.推，推力；促进，推进 
purse  n.钱包，小钱袋，手袋 
purpose  n. 目的，意图；用途，效果 
pure  a.纯，纯洁；抽象的，纯理论的；十足，完全 
pupil  n.学生，小学生；(眼睛的)瞳孔 
punishment  n.处罚，罚，刑罚；折磨，损害 
punish  vt.惩罚；处罚；罚款；痛击 
pump  n.泵，抽水机 vt./vi.抽取；盘问；灌注 
pulse  n.脉搏，节奏，脉冲 v.搏动，跳动 
pull  v.拖，拉，牵；拔，采；拉伤 n.拉，拖，牵 
publish  vt.公布(常用于被动语态)，发表；出版 
public  a.公共/用的；公众的；公开/然的 n.公/大众 
province  n.省；(学术)领域，活动(范围) 
provide  vt.分，划分，隔开；分配，分享；隔开；除 
prove  v.证明，证实；检验，鉴定；结果是，表明是 
proud  a.骄傲的，妄自尊大的；(of)自豪的，得意的 
protection  n.保卫，保护；防护物 
protect  v.保护，保卫，警戒[同]secure 
properly  ad.正确地，适当地；完全地，彻底地 
proper  a.适当的，正确的；正当的，规矩的；完全的 
pronunciation  n.发音，发音方法 
pronounce  vt.发…的音；宣布，宣称，断言 vi.表态 
promising  adj．有希望的，有前途的 
promise  n.承诺，诺言；希望 v.允诺，答应；有希望 
project  n.方案，工程 v.投射；(使)凸出；设计规划 
progress  n.进步，进展；前进 vi.前进；进展 
program  n.电脑程序；节目单 v.编制程序；安排节目 
professor  n.教授 
production  n.生产，产量；产品，作品；出示，提供 
product  n.产品，产物，乘积；成果；作品 
produce  vt.生产，制造，产生；显示；上演 n.农产品 
problem  n.问题，疑难问题，须认真对付的困难 
probably  ad.大概，或许，很可能 
probable  a.很可能的，大概的；有希望的，可能的 
prize  n.奖赏，奖金，奖品 vt.珍视(藏)；高度评价 
private  a. 私人的；秘密的；非官职的；安静的 
prisoner  n.拘留犯；囚犯；俘虏 
prison  n.监狱(禁)；拘留所 
printing  n.印刷(术)；印刷业 
printer  n.打印机；印刷工；印刷机 
print  v.印；印刷；出版 n.印痕；印刷；印刷字体 
primary  a.初级的，初步的；主要的；首要的；最初的 
pride  n.骄傲，自豪；引以自豪的东西 vt.以…自豪 
priceless  a.无价的，非常贵重的，珍贵的 
price  n.价格，价钱；代价vt.定价(或标价) 
prevent  v.(from)预防，防止；阻止 
pretty  ad.相当，很a.漂亮的，俊俏的，标致的 
pretend  vt.假装；自命，自称 vi.假装，装作 
pressure  n.压(力)，压强；压迫vt.迫使，说服 
press  v.压，按；压榨；催促 n.报刊，出版社；压 
president  n.总统；总裁；校长；院长；会(社)长；主席 
presently  ad.不久，一会儿；现在，目前 
present  a.出席的 n.现在；礼物 v.赠送；提出；介绍 
presence  n.出席，到场，存在；仪表，仪态 
prepare  v.准备；配备，装备；使(某人)有思想准备 
preparation  n.装备，预备；制剂，制备品；筹备 
prefer  vt.宁可，更喜欢；宁愿(选择) 
predicative  n.表语 
precious  a.宝贵的，贵重的；珍爱的 
prayer  n.祈祷，祷告；[常作prayers]祈祷仪式 
pray  v.祈祷，祈求；请求，恳求 
praise  v.赞扬，歌颂；n.称赞，赞美；赞美的话 
prairie  n.(尤指北美的)大草原 
practise  n.练习；实行；业务；惯例 v.练习；开业 
practice  n./v.实践；练习，实习；开业 (=practise) 
practical  a.实践的；实用的；实际的；实用主义的 
powerful  a.强大的，有力的，有权的；强壮的，强健的 
power  n.力，力量；功率；动力；权势；能力；政权 
powder  n.粉末，药粉；香粉，爽身粉；火药，炸药 
poverty  n. the condition of being poor 
pour  vt.灌；蜂拥 vi.倾泻；(雨)倾盆而下 n.倾泻 
pound  n.1.英镑(英国货币单位) 2.磅(重量单位) 
pottery  n.陶器；陶器制造(术)；陶器厂 
potato  n.马铃薯，土豆 
pot  n.捕鱼篓捕捉鳗鱼,其他鱼类/甲壳类用的捕具 
postman  (美mailman) n.邮递员 
poster  *n.(贴在公共场所的大型)招贴；广告(画) 
postcard  n.明信片 
post  n.(支)柱；邮政；哨所；岗位 vt.贴出；邮寄 
possibly  ad.可能地，也许；无论如何 
possible  a.可能的，做得到的；合理的，可允许的 
possibility  n.[常用复数]发展前途，潜在价值；可能(性) 
possession  n.拥有；所有权；所有物，[pl.]财产 
possess  vt.占用，拥有；(感情等)支配或控制(某人) 
position  n.位置；地位，职务；姿势；立场vt.安置 
portrait  n.肖像，画像；生动的文字描绘 
port  n.港口，舱门；(船、飞机)左舷 [同]harbor 
porridge  n.(和牛奶或水煮成的)麦片粥 
pork  n.meat form pigs 猪肉 
population  n.人口；全体，总数；(人口的)聚居 
popular  a.广受欢迎的，有名的；通俗的，流行的 
poor  a.贫困的；可怜的；贫乏的；贫瘠的；低劣的 
pool  n.水塘；游泳池，水池 vt.集中，共用，联营 
pollution  n.污染，污染物 
pollute  vt.弄脏，污染；使…堕落 
politics  n.政治(学)；政治活动；政见，政纲 
politician  n.政治家; [贬]政客 
polite  a.有礼貌的，客气的；斯文的，有教养的 
policeman  n.警察(复数为policemen) 
police  n.警察机关；公安部门 a.警察的 v.管辖 
pole  n.竿；柱；杆；(南、北)极；磁极；电极 
poisonous  a.有毒的，有害的；恶毒的，有恶意的 
poison  n.毒物，毒药 vt.毒害，使中毒 a.有毒的 
point  n.尖；点，小数点；条款；分数；要点，观点 
poetry  n.(the art of writing) poems 
poet  n.诗人 
poem  n.诗，韵文，诗体文 
pocket  n.口袋 a.袖珍的，小型的 vt.把…装入口袋 
plus  a.正的；标准以上的 n.正号，正数 prep.加 
plug  n.插头；v.把…的插头插上(与in连用) 
plough  (=plow) n.犁 v.犁；费力地前进 
plike  aas 
plenty  n.丰富，充足，大量 a.充足的；相当多的 
pleasure  n.愉快，满足；乐事；乐趣；愿意，喜欢 
pleased  adj.高兴的，乐意的 
please  int.请 vt.使高兴 vi.满意；喜欢，想要 
pleasant  a.令人愉快的 vt.使高兴 vi.满意；喜欢 
playmate  n.游戏的伙伴 
playground  n.(学校的)操场，(儿童)游乐场 
player  n.(球类)运动员，游戏的人；演员，演奏者 
play  v.玩，做游戏；参加比赛n.游戏；玩耍；剧本 
platform  n.(平)台；月台，站台；讲台；政纲，党纲 
plate  n.金属板；盘子，盆子；板，钢板 v.(电)镀 
plastics  n.塑料；塑料制品 
plastic  n.(pl.)塑料(制品) a.塑料(制)的；可塑的 
plant  n.植物，作物；工厂；装置 v.栽种，播种 
planet  *n.行星 
plane  n.飞机；平面a.平的，平坦的 
plan  n.计划，规划；平面图 vt.计划，规划，设计 
plain  a.朴素的，简单的；清晰的，明白的 n.平原 
place  n.地方；名次；地位；寓所 vt.放置；订(货) 
pity  n.可怜；同情；遗憾的事；不幸的事 v.同情 
pipe  n.管子，导管；烟斗；管乐器 v.用管道输送 
pioneer  n.先驱者，创始人；开拓者vt.开拓(创) 
pink  a.粉红色的，桃红色的 n.粉红色，桃红色 
pine  n.松(树)vi.消瘦，衰弱，憔悴；思念 
pin  n.大头针 vt.用别针别住；钉住，使不能行动 
pilot  n.飞行员；引航员 vt.驾驶；引航a.试验性的 
pillow  n.枕头 v.枕，搁，垫 
pill  n.药片，药丸 
pile  n.堆，叠；大量 v.堆，堆积；拥挤进(入) 
pig  n.猪，猪肉；猪一般的人(指肮脏，贪吃的人) 
piece  n.(一)件/片/篇；碎块，片断 vt.拼合，修补 
pie  n.(用肉或水果做成的)馅饼 
picture  n.图画，照片；电影 vt.(生动地)描述；想象 
picnic  n.野餐，郊游 vi.(去)野餐 
pick  n.镐 v.挑选，选择；采，摘；剔除，剔去 
piano  adj. & adv.柔软的(地) 
pianist  n.person who plays the piano 钢琴家 
physics  n.物理，物理学 
physicist  n.物理学家 
physical  a.物质的，有形的；肉体的，身体的；物理的 
phrase  n.短语，词组，用语vt.表达，叙述 
photographer  n.摄影师，摄影者 
photocopier  *n.影印机(=photocopying machine) 
photo  n.[口]照片 (=photograph) 
petrol  n.汽油 vt.加汽油 
pet  n.宠物；受宠的人 a.宠爱的；表示亲昵的 
pest  n.害虫，有害生物；讨厌的家伙 
persuade  vt.说服，劝服；使相信 a.空闲的；有闲的 
personally  ad.亲自，当面；就个人而言；个别地 
personal  a.个人的，私人的；本人的；身体的，容貌的 
person  n.人，喜欢(或适应)..的人；人物；人称 
permit  v.允许，许可，准许 n.执照；许可证 
permission  *n.允许；许可；同意 
period  n.一段时间，时期；学时，课时；周期，句点 
period  n.一段时间，时期；学时，课时；周期，句点 
perhaps  ad.也许，可能，多半，或许 
performer  n.演出者，表演者；履行者，执行者 
performance  n.表演，演出；履行，执行；工作情况，表现 
perform  v.履行，执行，做，完成；表演，演出 
perfectly  ad.完美地；无可非议地；彻底地 
perfect  a.完美的，完满的；完全的 vt.使完美，改善 
percentage  n.百分数，百分率；比例，部分 
percent  n.,a.百分之一，(与基数词连用)百分之...的 
per  prep.每；经，由；(比率)几分之几 
people  n.人们，人；[the-]人民；一国人民，民族 
pension  n.养老金，退休金；抚恤金；津贴，补助金 
penny  n.([复]pennies或pence)(英国货币单位)便士 
pencil  n.铅笔 vt.用铅笔写 
pence  n.便士(英国货币)的复数形式 
pen  n.钢笔，圆珠笔；围栏vt.把…关在圈中 
peasant  n.[不用于英国或美国]小农；佃农；农民 
pear  n.梨子；梨树 
peach  n.桃子，桃树；桃红色 
peacefully  ad.宁静地；安祥地；爱好和平地；喜安静地 
peaceful  a.和平的；宁静的；安祥的；爱好和平的 
peace  n.和平，和睦；平静，安宁，安静 
pay  v.付款；付出代价；给予注意 n.工资，薪金 
pause  n.中止，停顿；暂停 v.踌躇 [同]stop 
pattern  n.型，模式，样式；花样,图案 v.仿造，模仿 
patient  a.&n.有耐心的，能忍耐的；病人，患者 
patience  n.忍耐(力)；耐心；坚韧 
path  n.小路，小径；路线，轨道，路程 
past  a.过去的 ad.过 n.过去，昔日 prep.(经)过 
passport  n.护照，通行证，执照 
passive  a.not joining in or taking part 
passer-by  n.过路人(复数passers-by) 
passenger  n.乘客，旅客，过路人 
passage  n.过道；(时间)流逝；(文章的)一节，一段 
pass  v.经/通/穿/度过；传递 n.通行证；考试及格 
party  n.社交聚会，宴会；党，政党；一组，一伙人 
part-time  a.&ad.部分时间的(地)，兼职的(地) 
partner  n.配偶，搭档；伙伴，合伙人vt.做…的搭档 
partly  ad.部分地，在一定程度上，不完全地 
particularly  ad.especially 特别地，尤其 
particular  a.个别的；各个的；独有的；特殊的；特别的 
participle  n.分词 
part  n.部分，份儿；角色；零件 v.使分开，分离 
parrot  n.鹦鹉 n.鹦鹉学舌般地复述 
parking  n.停车；停车处 
park  n.公园；停车场 v.停放(汽车等) 
Paris  n.巴黎(法国首都) 
parent  n.父亲；母亲；动(植)物的母体；起源，根本 
pardon  n.原谅；饶恕；对不起 v.饶恕，原谅，赦免 
paragraph  n.(文章)段落，节；(报刊上的)短文，短讯 
paperwork  *n.日常文书工作 
papers  n.(pl.)文件；论文 
paper  n.纸；纸制品；报纸；(pl)文件；试卷；论文 
panel  n.(门墙等的)镶板，嵌板；专门小组；控制板 
panda  n.(大)猫熊；(大)猫熊 
pancake  n.烘饼；烤薄饼 
pan  v.严厉批评 n.平底锅 
pale  a.苍白的；淡的vi.变得苍白，变得暗淡 
palace  n.宫，官殿；豪华住宅，大厦 
pair  n.一双(对，副)；一对夫妇(情侣)v.(使)配对 
painting  n.(一幅)画；(绘画)艺术；(上)油漆，油漆业 
painter  n.油漆匠；画家，绘画者 
paint  n.油漆，颜料 v.油漆；涂；画；描绘，描述 
painful  a.(引起)疼痛的；困难的，令人不快的 
pain  n.疼痛，痛；痛苦，悲痛；[pl.]辛苦，苦心 
page  n.页，张vt.(通过扩音器、传呼机等)呼叫 
paddle  n.(短)桨；涉水v.荡桨；涉水；用木板打 
packet  n.小包，小盒；包裹 v.打包，装行李；包装 
package  n.包装/裹，箱；一揽子交易/计划/建议等 
pack  n.包；捆；一批 v.包装；捆扎；塞满；挤满 
Pacific  n.[the P-]太平洋 a.和平的；(P-)太平洋的 
pace  n.一步；步幅；速度 v.踱步，用步子测量 
P.M.  abbr.(post meridiem的缩写)下午，午后 
oxygen  n.[化]氧, 氧气 
ox  n.牛；公牛 (pl.oxen) 
ownership  n.拥有；所有权，所有制 
owner  n.物主，业主，所有人 
own  a.(用在所有格后面，加强语气)自己的 
owe  vt.欠…的钱；把…归功于；应感谢 vi.欠钱 
overtake  vt.追上，超过；突然降临于，意外地碰上 
overhead  a.在头顶上的；架空的 ad.在头顶上 
overcoat  n.外套，大衣 
over  ad.在上方；遍及地 prep.在的上方 a.结束的 
outward  a.外面的；公开的；可见的；向外的 n.外形 
outside  a.外面的 ad.在外面 prep.在…外面 n.外表 
outer  a.外面(表)的；远离中心的，外层的 
outdoors  ad./a.户外(的)，野外(的) (=outdoor) 
outdoor  a./ad.户外的，野外的；户外，野外 
out  ad.出去；离家；突出来 a.外面的，往外去的 
ourselves  pron.[反身代词]我们自己；我们亲自 
ours  pron.[we的物主代词]我们的(所有物) 
our  pron.[we的所有格]我们的 
ought  aux.应该(使用时,之后应接to,再接动词原形) 
ouch  interj.（突然感到病痛时发出的声音）哎哟 
otherwise  ad.除此以外；别样 conj./ad.否则，不然 
other  a.另外的，其他的 n./pron.另一个人(或事) 
organizer  *n.组织者 
organize  vt.组织，安排；筹办 [英]organise 
organization  n.组织，体制；团体，机构 (=organisation) 
ordinary  a.平常的，普通的；平凡的，平庸的 
order  n.顺序；命令；订货单 vt.下令；点菜；订货 
orbit  n.轨道；眼窝；生活常规 v.环绕轨道运行 
orange  a.橙色的，赤黄色的 n.橙色，赤黄色 
oral  a.口头的，口语的；口(部)的 
or  conj.或，或者(表示选择)；即，大约；否则 
oppress  v.压迫，压制某人；使(心情等)沉重，使烦恼 
opposite  a.对面(立)的 n.对立面(物) prep.在...对面 
oppose  v.set oneself against;set up against 
opinion  n.意见，看法，主张；舆论；(专家)鉴定 
operator  n.操作员；话务员，报务员；(外科)手术员 
operation  n.操作，经营；手术；(军事)行动；运算 
operate  v.作业，工作；操作；经营；(对...)动手术 
opera  n.a musical play 歌剧(院) 
opening  n.最初；空地；洞，孔，通道；(职位的)空缺 
open  a.开(着)的；开阔的 vt.开始 vi.裂开；开始 
onto  prep.在...上面；到...上面 
only  ad.仅仅，只不过 a.唯一的 conj.可是，不过 
onion  n.洋葱，洋葱类植物 
oneself  pron.[反身代词]自己；亲自，本人 
one  num.一 pron.一个(只)(表示代替可数的东西) 
once  ad.一次，曾经 conj.一(旦)…就… n.一次 
on  a.连接上 prep.在…上；靠近 ad.向前，继续 
Olympic  *a.奥林匹克的 n.奥林匹克运动会 
old  a.年老的；…岁的；长时间的，老的；过去的 
oil  n.油，石油 v.给…加润滑油；涂油，上油 
oh  int.(表示惊讶、恐惧、痛苦等)哦，哎呀 
often  ad.常常，经常，通常 
official  a.官方的，正式的，公务的n.官员，行政人员 
officer  n.官员，办事员；工作人员；军官 
office  n.办公室，办事处；部，处，局；职务，公职 
offer  vt.提供；愿意做；奉献 n.提供；提议；报价 
off  ad.离开；在远处；脱开 prep.从，从...离开 
of  prep.…的；在…之中；用…制的；关于…的 
October  (名)十月 
o'clock  ad.(…)点钟(与1至12数字连用) 
Oceania  n.大洋洲 
ocean  n.洋，海洋；[pl.]大量，许多 
occur  vi.发生；存在，出现；被想起，被想到 
obviously  adv.明显地，明白地，清楚地 
obtain  vt.获得，得到vi.通用，流行，存在 
observe  vt.注意到，观察，看到；遵守，奉行；评论 
object  n.物体，对象；目标;宾语 vi.反对,拒绝接受 
obey  v.服从，按照...执行；听由，听由摆布 
O.K.  a./ad.可以，不错，很好 int.行，好 
nut  n.坚果；果仁；螺母，螺帽；难对付的人(事) 
nurse  n.保姆，护士，保育员 v.护理，养育，喂奶 
number  n.数(目)；号码，期 v.编号，加号码；总计 
nuclear  a.核心的，中心的；原子核的，核能的 
nowhere  ad.在任何地方都不 n.无处；不知道的地方 
nowadays  ad.现今；在这时代 
nowaday  adj. 现今的 
now  ad.现在，如今，目前；当时，于是，然后 
November  n.11月(月份名称大写) 
novel  a.新颖的，新奇的 n.(长篇)小说 
noun  n.[语法]名词 
notice  n.通知，布告；注意，认识 vt.看到，注意到 
nothing  n.没有东西；什么也没有；无关紧要的人或事 
notebook  n.笔记本；笔记本电脑 
note  n.笔记，便条；注释；钞票 vt.记下；注意到 
not  ad.不，不是，不会；没有 
nose  n.鼻子；鼻状物，前端突出部vt.嗅(探)出 
northwards  a.&ad.向北 n.北方的地区 
northern  a.北部的，来自北方的，向北的 
north  n.北(方)，北部 ad.向北方 a.北方(部)的 
normal  a.正常的，标准的；正规的；精神健全的 
nor  conj.／ad.也不，也没有 
noon  n.中午，正午；最高点；全盛期 
noodle  n.(常用复数)面条 
non-white  *n.非白种人 
non-violent  *a.非暴力的 
non-stop  a.&ad.不停的(地) 
non-smoker  *n.不吸烟的人 
non-identical  a.非同一的；不同的 
none  pron.没有任何人(东西)；都不 ad.一点也不 
non  ad.[拉]非，不是 
noisy  adj.喧闹的；嘈杂的 
noisily  adv.喧闹地 
noise  n.声音，响声；喧哗声；响声；噪声 
nod  v.点(头);点头同意；打盹 n.点头同意；磕睡 
nobody  pron.谁也不 n.小人物，无足轻重的人物 
noble  a.高尚的；宏伟的；贵族的，高贵的 n.贵族 
NO.  n.(缩)...号，号码; =number 
no  ad.不是，不 a.没有的；不允许 n.不，拒绝 
ninth  num.第九个，九分之一 
ninteenth  第十九 
ninety  num.九十，九十个 
ninetieth  num.第九十 
nine  num.九 pron./ad.九(个，只...) 
night  n.夜间；夜；晚(上) 
niece  n.侄女，外甥女 
nicotine  n.[化]尼古丁，烟碱 
nice  a.美好的，令人愉快的；友好的，亲切的 
next  a.紧接的，其次的；贴近的 ad.其次；居后 
newsreel  n.新闻影片 
newspaper  n.报纸，新闻纸 
news  n.新闻，消息；新闻报道，新闻广播 
New Zealander  新西兰人 
New Zealand  n.新西兰(大洋洲) 
new  a.新(近)的；新来的；不熟悉的；没经验的 
never  ad.永不，从不，决不；从来没有；不，没有 
network  n.网状系统；广播网，电视网；广播联播公司 
net  n.网；罗网；净数；净重 a.纯净的；实得的 
nest  n.巢，窝；安逸的住所 v.筑巢 
nervous  a.紧张不安的，害怕的；神经(方面)的 
nephew  n.侄子；外甥 
neither  a.两者都不的 pron.两者都不 conj./ad.也不 
neighbourhood  n.地段，地区，四邻；邻近地，附近 
neighbor  n.邻居 v.邻近；邻接 [英]neighbour 
Negro  n.a person belonging to the black race 
needle  n.针，针状物，注射针，编织针，唱针 
need  aux.v./v.需要；必须 n.需要；贫困，困窘 
necklace  n.项链，项圈 
neck  n.颈，脖子；(衣服的)领圈，领口 
necessary  a.必须的，必要的；必然的 n.[pl.]必需品 
neatly  ad.整洁地，干净地；灵巧地，熟练地 
neat  a.整洁的，简洁的；优美的，精致的；利索的 
nearly  ad.差不多；密切地 
nearby  a.附近的 ad.在附近 prep.在…附近 
near  a.近的，接近的；亲近的 prep.靠近 ad.接近 
navy  n.海军 
naughty  a.顽皮的；淘气的，不听话的 
nature  n.自然(界)；天性；特性；人体的本能 
natural  a.自然的，天然的；出于本性的；自然如此的 
native  a.本国的，本地的，土生的 n.土著，当地人 
nationwide  a.全国性的 ad.在全国范围内 
nationality  n.国籍；民族，族 
national  a.国家的；民族的；国有的;全国性的;全民的 
nation  n.国家，国民，民族 
narrow  a.狭窄的；范围小的；眼光短浅的，有偏见的 
name  n.名字(称/声/义) vt.给…取名；列举；提名 
nail  n.钉子，钉状物；指甲，爪 v.钉，钉牢 
myself  pron.[反身代词]我自己；我亲自 
my  pron.(I的所有格)我的 
mutton  n．羊肉 
must  aux.&v.必须；很可能；一定要 n.必须做的事 
musician  n.a composer or performer of music 
musical  a.音乐的，爱好音乐的;悦耳的;有音乐才能的 
music  n.音乐，乐曲，乐谱 
museum  n.博物馆；[美]展览馆 
murderer  n．谋杀犯，凶手 
murder  n.谋杀，谋杀罪 vt.谋杀，屠杀；破坏 
mummy  n.木乃伊；妈咪(儿语) 
mum  n.(儿语)妈妈；沉默 a.沉默的 
multiply  vt.使增加，使繁殖；乘 vi.增加，繁殖 
mud  n.泥，泥浆 v.弄脏，使沾污泥 
much  a.多的，大量的 ad.十分，非常；到极大程度 
Mrs.  n.夫人(Mistress的缩略) 
Mr.  n.先生；(M-，放在姓氏前)…先生 
moving  a.活动的，移动的；动人的，令人感动的 
movie  n.电影，影片[the pl.]电影院，电影业 
movement  n.运动，活动；举动，迁移；(群众性)运动 
move  vt.移动；感动 vi.移动；运行 n.走棋；步骤 　 　 . 
mouthful  n.满口，一口，少量 
mouth  n.口，嘴 vt.说出；夸大地说 
moustache  n.髭，小胡子；(哺乳动物的)触须 
mouse  n.老鼠；胆小怕事的人；鼠标 (pl.）mice 
mourn  vi.(尤指对某人的亡故)感到悲痛；哀悼 
mountainous  a.多山的；如山一般，巨大的 
mountain  n.山，高山；（pl.）山脉；大量 
motto  n.座右铭；格言；题词 
motor  n.马达，电动机；汽车 a.机动的；汽车的 
motherland  *n.祖国 
mother  n.母亲; 根源 vt.产生 
mostly  ad.几乎全部地；主要地，大部分，基本上 
most  a.最多的；大多数的 ad.最；极其 n.大多数 
morning  n.早晨，上午 
moreover  ad.再者，而且，加之，此外 
